game_time,true_time,x,y,az,vx,vaz,dis_to_obs_0,dis_to_obs_36,dis_to_obs_72,dis_to_obs_108,dis_to_obs_144,dis_to_obs_180,dis_to_obs_-144,dis_to_obs_-108,dis_to_obs_-72,dis_to_obs_-36,dis_to_min_obs,direction_to_min_obs,dis_to_human_0,dis_to_human_36,dis_to_human_72,dis_to_human_108,dis_to_human_144,dis_to_human_180,dis_to_human_-144,dis_to_human_-108,dis_to_human_-72,dis_to_human_-36,dis_to_min_human,direction_to_min_human,
1.002,4.269,0.524,0.071,6.077,1.044,5.923,0.000,2.167,1.056,0.937,1.291,3.600,3.869,0.000,2.086,2.831,0.000,0.369,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.120,4.387,0.644,0.044,5.998,1.018,5.490,0.000,2.685,1.139,0.958,1.238,3.798,3.874,0.000,2.046,2.610,0.000,0.474,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.206,4.472,0.720,0.021,5.981,0.995,0.033,0.000,2.877,1.179,0.979,1.250,3.896,3.931,0.000,2.022,2.547,0.000,0.474,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.320,4.587,0.833,-0.013,6.005,1.011,0.537,0.000,2.798,1.203,1.016,1.320,3.987,4.085,2.184,1.989,2.550,0.000,0.474,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.415,4.682,0.910,-0.035,6.033,1.021,0.275,0.000,2.664,1.207,1.039,1.381,4.036,4.213,2.315,1.970,2.583,0.000,0.439,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.510,4.777,1.007,-0.060,6.036,1.012,6.276,0.000,2.707,1.233,1.065,1.418,4.133,4.323,2.282,1.946,2.557,0.000,0.439,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.606,4.873,1.103,-0.084,6.036,1.007,6.276,0.000,2.767,1.261,1.089,1.451,4.232,4.427,2.253,1.922,2.526,0.000,0.439,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.719,4.986,1.200,-0.108,6.037,1.012,6.276,0.000,2.828,1.289,1.113,1.484,4.331,4.532,2.224,1.898,2.494,0.000,0.439,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.804,5.071,1.297,-0.133,6.037,1.013,6.277,0.000,2.888,1.317,1.138,1.517,4.430,4.637,2.195,1.873,2.463,0.000,2.826,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.919,5.186,1.393,-0.157,6.037,1.011,6.277,0.000,2.949,1.345,1.162,1.549,4.530,4.741,2.167,1.849,2.431,0.000,2.861,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.005,5.271,1.490,-0.181,6.037,1.011,6.277,0.000,3.009,1.373,1.187,1.582,4.629,4.846,2.138,1.825,2.399,0.000,2.931,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.120,5.387,1.606,-0.210,6.038,1.012,0.028,0.000,3.078,1.407,1.216,1.622,4.748,4.972,2.103,1.796,2.363,0.000,2.966,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.220,5.487,1.702,-0.234,6.051,1.012,0.369,0.000,3.049,1.424,1.242,1.673,4.833,0.000,2.058,1.773,2.357,0.000,3.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.309,5.576,1.780,-0.252,6.073,1.011,0.294,0.000,2.946,1.427,1.263,1.734,4.888,0.000,2.011,1.759,2.380,0.000,3.036,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.420,5.687,1.897,-0.277,6.078,1.012,6.277,3.361,2.971,1.451,1.289,1.777,0.000,0.000,1.977,1.736,2.358,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.517,5.783,1.975,-0.293,6.078,1.012,6.276,3.135,3.006,1.469,1.305,1.800,0.000,0.000,1.958,1.719,2.337,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.601,5.868,2.073,-0.313,6.079,1.012,6.276,2.906,3.051,1.492,1.326,1.829,0.000,0.000,1.934,1.699,2.310,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.718,5.985,2.170,-0.333,6.079,1.012,6.276,2.635,3.096,1.514,1.346,1.857,0.000,0.000,1.911,1.679,2.283,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.809,6.075,2.268,-0.354,6.079,1.012,6.276,2.414,3.141,1.537,1.367,1.886,0.000,0.000,1.888,1.658,2.256,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.920,6.187,2.385,-0.378,6.080,1.012,6.277,2.146,3.195,1.564,1.391,1.920,0.000,0.000,1.860,1.634,2.223,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.020,6.287,2.482,-0.398,6.080,1.012,6.277,1.930,3.241,1.587,1.411,1.948,0.000,0.000,1.836,1.614,2.196,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.116,6.382,2.560,-0.414,6.080,0.987,6.277,1.725,3.277,1.605,1.428,1.971,0.000,0.000,1.818,1.598,2.175,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.202,6.469,2.650,-0.432,6.080,0.856,6.277,1.532,3.318,1.626,1.446,1.997,0.000,3.370,1.797,1.579,2.150,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.320,6.587,2.738,-0.450,6.080,0.701,6.277,1.319,3.359,1.646,1.465,2.023,0.000,3.347,1.775,1.561,2.125,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.406,6.673,2.791,-0.461,6.080,0.661,6.277,1.184,3.383,1.658,1.476,2.038,0.000,3.405,1.763,1.550,2.110,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.517,6.784,2.849,-0.473,6.081,0.539,6.277,1.046,3.410,1.672,1.488,2.055,0.000,3.469,1.749,1.538,2.094,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.608,6.875,2.894,-0.482,6.081,0.421,6.277,0.000,3.430,1.682,1.497,2.068,0.000,3.519,1.738,1.529,2.082,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.720,6.987,2.938,-0.491,6.081,0.353,6.277,0.000,3.450,1.692,1.506,2.081,0.000,3.623,1.728,1.520,2.070,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.816,7.083,2.963,-0.496,6.081,0.317,6.277,0.000,3.461,1.698,1.511,2.088,0.000,3.610,1.722,1.515,0.583,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.901,7.168,2.989,-0.502,6.081,0.250,6.277,0.000,3.473,1.704,1.517,2.096,0.000,3.596,1.716,1.509,0.468,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
4.020,7.287,3.048,-0.514,6.082,0.943,0.018,0.000,3.497,1.717,1.529,2.114,0.000,3.563,1.702,1.497,0.433,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
4.119,7.386,3.141,-0.533,6.082,1.373,0.003,0.000,3.400,1.738,1.548,2.141,0.000,3.515,1.679,0.364,2.015,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
4.204,7.471,3.264,-0.558,6.083,1.067,0.074,0.000,3.266,1.765,1.574,2.179,0.000,3.443,0.543,0.429,1.983,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
