game_time,true_time,x,y,az,vx,vaz,dis_to_obs_0,dis_to_obs_36,dis_to_obs_72,dis_to_obs_108,dis_to_obs_144,dis_to_obs_180,dis_to_obs_-144,dis_to_obs_-108,dis_to_obs_-72,dis_to_obs_-36,dis_to_min_obs,direction_to_min_obs,dis_to_human_0,dis_to_human_36,dis_to_human_72,dis_to_human_108,dis_to_human_144,dis_to_human_180,dis_to_human_-144,dis_to_human_-108,dis_to_human_-72,dis_to_human_-36,dis_to_min_human,direction_to_min_human,
1.018,4.840,-1.276,1.436,1.230,1.035,2.580,2.441,0.000,2.134,1.724,2.138,0.000,3.586,0.000,0.776,0.890,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.115,4.937,-1.246,1.534,1.350,1.031,0.037,3.688,4.225,2.011,1.767,2.404,0.000,3.854,0.863,0.750,3.420,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.213,5.036,-1.225,1.625,1.316,0.806,5.575,3.083,0.000,2.075,1.782,2.360,0.000,3.899,0.857,0.727,3.364,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.309,5.132,-1.206,1.695,1.287,0.791,6.229,2.681,1.922,2.136,1.797,2.327,0.000,3.931,0.850,0.706,0.000,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.406,5.228,-1.181,1.780,1.293,0.955,0.337,2.648,1.619,2.157,1.823,2.371,0.000,4.031,0.817,0.682,3.225,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.509,5.332,-1.158,1.863,1.338,0.726,0.631,3.088,1.412,2.125,1.853,2.498,0.000,4.193,0.767,0.611,3.086,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.619,5.441,-1.145,1.923,1.359,0.610,0.016,3.345,1.224,2.115,1.871,2.566,0.000,4.297,0.742,0.598,3.004,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.710,5.532,-1.130,1.990,1.359,0.825,6.277,3.269,1.071,2.132,1.886,2.586,0.000,4.371,0.726,0.000,2.935,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.812,5.634,-1.112,2.076,1.359,0.916,6.277,3.174,0.978,2.153,1.904,2.611,0.000,4.464,0.704,3.970,2.847,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.909,5.732,-1.094,2.159,1.359,0.806,6.277,3.082,0.000,2.173,1.923,2.636,0.000,4.556,0.626,3.923,2.763,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.007,5.829,-1.078,2.233,1.359,0.747,6.277,3.001,0.000,0.653,1.938,2.658,0.000,4.636,0.608,3.882,2.688,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.102,5.925,-1.063,2.305,1.359,0.769,6.277,2.921,0.000,0.552,1.954,2.680,0.000,1.378,0.630,3.842,2.614,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.214,6.036,-1.047,2.379,1.360,0.753,6.277,2.840,0.000,2.227,0.577,2.702,0.000,1.339,0.778,3.800,2.623,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.308,6.130,-1.032,2.449,1.360,0.710,6.277,2.764,0.000,2.244,0.507,2.723,0.000,1.302,1.994,3.761,0.848,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.403,6.225,-1.017,2.515,1.360,0.690,6.277,2.690,0.000,2.260,0.612,2.743,0.000,1.267,1.977,3.724,0.749,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.510,6.332,-1.003,2.581,1.360,0.679,6.277,2.619,0.000,2.276,2.014,0.729,0.000,1.232,1.961,3.687,0.652,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.607,6.429,-0.990,2.645,1.360,0.657,6.277,2.549,0.000,2.291,2.028,0.789,0.000,1.199,2.009,3.651,0.599,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.702,6.525,-0.977,2.707,1.360,0.634,6.277,2.482,0.000,2.306,2.041,0.928,0.000,1.166,2.134,3.617,0.581,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.810,6.632,-0.964,2.766,1.360,0.618,6.277,2.416,0.000,2.321,2.054,1.144,0.000,1.012,2.255,3.583,0.563,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.911,6.733,-0.951,2.824,1.360,0.601,6.277,2.353,0.000,2.335,2.067,2.836,0.000,0.981,2.373,3.551,0.615,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.006,6.828,-0.939,2.881,1.360,0.583,6.277,2.292,0.000,2.348,2.079,2.853,0.000,0.973,2.487,3.519,0.598,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.104,6.926,-0.928,2.935,1.360,0.565,6.277,2.232,0.000,2.361,2.091,2.869,0.000,1.033,2.598,3.589,0.582,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.214,7.036,-0.916,2.988,1.361,0.549,6.277,2.174,0.000,2.374,2.102,2.885,0.000,1.091,2.706,0.369,0.567,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.311,7.133,-0.905,3.040,1.361,0.534,6.277,2.118,0.000,2.386,2.113,2.901,0.000,1.148,3.923,0.358,0.552,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.408,7.230,-0.895,3.090,1.361,0.518,6.277,2.064,0.000,2.398,2.124,2.916,0.000,1.202,4.025,0.347,0.538,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.501,7.324,-0.884,3.138,1.361,0.503,6.277,2.011,0.000,2.410,2.134,2.931,0.000,1.255,4.124,0.387,0.524,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.606,7.428,-0.874,3.185,1.361,0.489,6.277,1.960,0.000,2.421,2.144,2.945,0.000,1.319,4.220,0.377,0.510,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.705,7.528,-0.865,3.231,1.361,0.475,6.277,1.911,0.000,2.432,2.154,2.959,0.000,1.381,0.362,0.367,0.497,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.808,7.630,-0.855,3.275,1.361,0.461,6.277,1.862,0.000,2.443,2.164,2.972,0.000,1.455,0.351,0.358,0.484,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.907,7.730,-0.846,3.318,1.361,0.448,6.277,1.816,0.000,2.453,2.173,2.985,3.124,1.527,0.340,0.348,0.472,0.000,2.966,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
4.006,7.829,-0.837,3.360,1.362,0.435,6.275,1.773,0.000,2.462,2.182,2.999,3.202,1.597,0.388,0.340,0.460,0.000,2.966,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
4.101,7.924,-0.829,3.400,1.365,0.423,0.199,1.761,0.000,2.467,2.192,3.021,3.335,1.672,0.377,0.331,0.450,0.000,3.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
4.208,8.031,-0.821,3.440,1.384,0.411,0.220,1.905,0.000,2.452,2.206,3.088,3.589,1.784,0.364,0.324,0.447,0.000,3.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
