game_time,true_time,x,y,az,vx,vaz,dis_to_obs_0,dis_to_obs_36,dis_to_obs_72,dis_to_obs_108,dis_to_obs_144,dis_to_obs_180,dis_to_obs_-144,dis_to_obs_-108,dis_to_obs_-72,dis_to_obs_-36,dis_to_min_obs,direction_to_min_obs,dis_to_human_0,dis_to_human_36,dis_to_human_72,dis_to_human_108,dis_to_human_144,dis_to_human_180,dis_to_human_-144,dis_to_human_-108,dis_to_human_-72,dis_to_human_-36,dis_to_min_human,direction_to_min_human,
1.016,4.340,0.000,0.000,0.000,0.000,0.000,0.000,1.776,0.922,0.842,4.140,3.040,3.361,0.000,2.200,3.093,0.000,2.369,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.108,4.432,0.000,0.171,6.119,0.008,5.962,0.000,1.834,0.930,0.840,4.209,3.050,3.334,0.000,2.194,3.042,0.000,2.369,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.213,4.537,0.000,0.171,6.103,0.002,6.051,0.000,1.882,0.936,0.838,4.262,3.057,3.313,0.000,2.190,3.004,0.000,2.404,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.301,4.625,0.000,0.171,6.090,-0.008,6.054,0.000,1.917,0.940,0.837,4.301,3.062,3.299,0.000,2.188,2.979,0.000,2.404,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.413,4.737,-0.001,0.171,6.081,-0.005,6.110,0.000,1.946,0.944,0.836,4.332,3.066,3.288,0.000,2.186,2.960,0.000,2.404,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.504,4.828,-0.001,0.171,6.074,0.011,6.164,0.000,1.974,0.947,0.835,4.363,3.071,3.279,0.000,2.184,2.941,0.000,2.404,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.611,4.935,0.000,0.171,6.067,0.008,6.144,0.000,1.992,0.950,0.835,4.384,3.074,3.273,0.000,2.183,2.930,0.000,2.404,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.715,5.040,0.000,0.171,6.063,0.002,6.194,0.000,2.010,0.952,0.835,4.403,3.077,3.267,0.000,2.182,2.919,0.000,2.404,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.803,5.128,0.000,0.171,6.059,-0.005,6.143,0.000,2.035,0.955,0.834,4.429,3.082,3.261,0.000,2.181,2.905,0.000,2.440,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.903,5.227,0.001,0.171,6.053,0.098,6.136,0.000,2.022,0.963,0.847,4.458,3.126,3.328,0.000,2.171,2.913,0.000,2.440,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.014,5.338,0.050,0.159,6.063,0.924,0.296,0.000,2.047,0.989,0.875,4.591,3.243,3.473,0.000,2.146,2.900,0.000,0.369,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.106,5.431,0.171,0.133,6.071,1.403,6.280,0.000,2.106,1.018,0.900,4.762,3.364,3.602,0.000,2.121,2.866,0.000,0.369,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.206,5.530,0.289,0.107,6.072,0.990,6.277,0.000,2.148,1.038,0.918,1.259,3.449,3.693,0.000,2.103,2.842,0.000,0.369,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.304,5.628,0.372,0.089,6.072,0.832,6.277,0.000,2.193,1.060,0.938,1.286,3.541,3.792,0.000,2.083,2.816,0.000,0.369,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.414,5.739,0.462,0.070,6.072,1.057,6.277,4.751,2.248,1.086,0.961,1.317,3.649,3.907,2.166,2.060,2.784,0.000,0.369,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.502,5.826,0.568,0.047,6.071,1.087,6.274,4.509,2.300,1.111,0.982,1.346,3.751,4.015,2.142,2.039,2.755,0.000,0.404,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.607,5.931,0.667,0.026,6.071,0.975,6.278,4.251,2.348,1.134,1.002,1.373,3.845,4.116,2.143,2.019,2.727,0.000,0.404,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.709,6.033,0.759,0.006,6.071,0.952,6.279,4.001,2.396,1.156,1.022,1.400,3.940,4.216,2.289,1.999,2.700,0.000,0.404,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.813,6.137,0.851,-0.014,6.071,0.966,6.278,3.756,2.445,1.180,1.043,1.428,4.036,4.319,2.266,1.979,2.672,0.000,0.404,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.915,6.239,0.945,-0.034,6.070,0.989,6.278,3.512,2.495,1.203,1.064,1.457,4.135,4.424,2.242,1.958,2.643,0.000,0.404,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.003,6.327,1.041,-0.055,6.070,1.013,6.278,3.290,2.545,1.228,1.085,1.486,4.235,4.531,2.217,1.936,2.614,0.000,0.404,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.107,6.431,1.139,-0.076,6.070,1.019,6.278,3.052,2.596,1.252,1.106,1.515,4.335,4.638,2.193,1.915,2.585,0.000,0.404,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
