game_time,true_time,x,y,az,vx,vaz,dis_to_obs_0,dis_to_obs_36,dis_to_obs_72,dis_to_obs_108,dis_to_obs_144,dis_to_obs_180,dis_to_obs_-144,dis_to_obs_-108,dis_to_obs_-72,dis_to_obs_-36,dis_to_min_obs,direction_to_min_obs,dis_to_human_0,dis_to_human_36,dis_to_human_72,dis_to_human_108,dis_to_human_144,dis_to_human_180,dis_to_human_-144,dis_to_human_-108,dis_to_human_-72,dis_to_human_-36,dis_to_min_human,direction_to_min_human,
1.010,4.476,0.000,0.000,0.000,0.000,0.000,0.000,3.729,4.364,1.579,1.261,1.510,3.614,4.556,0.000,1.240,0.000,1.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.102,4.569,-1.739,1.230,0.583,0.000,1.247,3.960,0.000,3.074,1.451,1.271,1.668,0.000,3.335,0.000,1.244,0.000,1.141,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.213,4.680,-1.738,1.231,0.713,0.040,1.913,3.907,0.000,2.811,1.419,1.280,1.737,0.000,3.588,0.000,1.249,0.000,1.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.312,4.778,-1.736,1.232,0.756,0.013,5.674,3.917,0.000,2.866,1.427,1.279,1.722,0.000,3.572,0.000,1.247,0.000,1.106,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.412,4.878,-1.736,1.233,0.746,-0.002,6.277,3.920,2.156,2.888,1.430,1.278,1.717,0.000,3.382,0.000,1.246,0.000,1.106,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.512,4.978,-1.736,1.233,0.743,0.001,6.274,3.929,1.988,2.935,1.436,1.277,1.705,0.000,3.371,0.000,1.244,0.000,1.106,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.608,5.074,-1.735,1.233,0.735,0.015,6.117,3.934,1.838,2.962,1.440,1.277,1.699,0.000,3.365,0.000,1.243,0.000,1.106,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.705,5.172,-1.735,1.234,0.731,0.014,5.859,3.971,1.723,3.165,1.465,1.273,1.657,0.000,3.322,0.000,1.239,0.000,1.141,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.805,5.271,-1.734,1.235,0.701,0.004,6.268,3.950,1.569,3.061,1.453,1.276,1.680,0.000,3.345,0.000,1.240,0.000,1.141,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.903,5.369,-1.733,1.235,0.716,0.027,0.520,3.938,1.442,3.005,1.447,1.278,1.694,0.000,3.358,0.000,1.240,0.000,1.106,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.019,5.485,-1.732,1.236,0.725,0.001,0.002,3.954,1.308,3.101,1.460,1.277,1.674,0.000,3.338,0.000,1.237,0.000,1.141,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.118,5.585,-1.731,1.237,0.711,0.025,6.082,3.954,1.205,3.107,1.461,1.278,1.674,0.000,3.338,0.000,1.236,0.000,1.141,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.206,5.673,-1.731,1.237,0.710,0.017,6.279,3.952,1.126,3.109,1.462,1.279,1.676,0.000,3.340,0.000,1.235,0.000,1.141,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.310,5.776,-1.730,1.238,0.711,0.028,6.279,3.949,1.050,3.113,1.465,1.281,1.679,0.000,3.342,0.000,1.233,0.000,1.141,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.410,5.876,-1.727,1.240,0.711,0.046,6.279,3.945,1.048,3.120,1.468,1.284,1.684,0.000,3.345,0.000,1.230,0.000,1.141,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.511,5.977,-1.724,1.243,0.711,0.068,6.277,3.938,0.000,3.132,1.474,1.290,1.691,0.000,3.350,0.000,1.225,0.000,1.141,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.609,6.075,-1.719,1.247,0.711,0.095,6.277,0.767,0.000,3.149,1.482,1.297,1.700,0.000,3.357,0.000,1.217,0.000,1.141,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.708,6.174,-1.712,1.254,0.711,0.126,6.277,0.634,0.000,3.717,1.554,1.299,1.625,4.496,3.615,0.000,1.203,0.000,1.211,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.814,6.281,-1.702,1.262,0.646,0.150,4.391,0.628,0.621,0.000,1.873,1.329,1.446,2.710,0.000,4.508,1.208,0.000,1.422,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.915,6.381,-1.688,1.273,0.434,0.204,3.825,0.491,2.364,0.000,1.959,1.353,1.443,2.596,0.000,4.390,1.200,0.000,1.457,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.012,6.478,-1.673,1.280,0.402,0.164,1.702,0.431,4.202,3.885,1.611,1.343,1.675,4.587,3.523,0.000,1.159,0.000,1.211,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.113,6.580,-1.658,1.285,0.642,0.164,2.812,0.514,0.000,2.723,1.481,1.384,1.961,0.000,3.758,0.000,0.520,0.000,1.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.213,6.680,-1.647,1.293,0.810,0.128,0.806,4.201,0.000,2.369,1.435,1.423,2.185,0.000,3.979,0.000,0.427,0.000,0.965,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.301,6.767,-1.642,1.299,0.900,0.039,1.688,2.459,0.000,1.929,1.375,1.525,2.828,0.000,4.564,1.160,0.433,0.000,0.790,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.403,6.870,-1.642,1.299,1.070,-0.033,1.492,3.180,0.000,1.738,1.358,1.632,3.612,4.681,0.000,0.604,0.531,0.000,0.684,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.506,6.973,-1.643,1.298,1.186,0.029,1.220,2.888,0.000,1.797,1.363,1.594,3.303,0.000,4.945,0.536,0.574,0.000,0.720,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.616,7.082,-1.641,1.302,1.147,0.062,4.433,2.118,0.000,2.290,1.426,1.438,2.264,0.000,4.062,0.000,0.493,0.000,0.930,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.705,7.171,-1.639,1.309,0.926,0.077,3.665,3.803,0.000,3.169,1.550,1.378,1.840,0.000,3.644,0.000,0.469,0.000,1.141,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.809,7.275,-1.635,1.315,0.735,0.085,4.436,0.000,3.331,0.000,1.726,1.371,1.634,3.856,4.258,0.000,0.479,0.000,1.281,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.920,7.386,-1.629,1.321,0.576,0.071,4.295,1.198,2.337,0.000,1.993,1.398,1.507,2.772,0.000,4.520,0.506,0.000,1.457,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
4.001,7.468,-1.624,1.324,0.420,0.062,5.533,1.231,2.740,0.000,1.850,1.387,1.574,3.254,0.000,0.565,1.126,0.000,1.387,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
4.113,7.579,-1.619,1.327,0.501,0.071,1.623,1.247,2.922,0.000,1.809,1.388,1.605,3.483,0.000,0.574,1.119,0.000,1.351,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
4.215,7.681,-1.615,1.329,0.530,0.037,5.840,1.227,2.754,0.000,1.850,1.393,1.585,3.302,0.000,0.649,1.119,0.000,1.387,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
4.316,7.783,-1.613,1.330,0.505,0.039,6.181,1.223,2.746,0.000,1.855,1.396,1.589,3.310,0.000,0.782,1.116,0.000,1.387,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
4.418,7.884,-1.609,1.332,0.505,0.060,6.278,1.217,2.733,0.000,1.862,1.402,1.595,3.323,0.000,4.943,1.111,0.000,1.387,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
4.500,7.967,-1.604,1.335,0.506,0.086,6.277,1.208,2.715,0.000,1.871,1.409,1.604,3.341,0.000,4.949,1.103,0.000,1.387,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
4.618,8.084,-1.597,1.339,0.506,0.114,6.278,1.197,2.691,0.000,1.885,1.419,1.615,3.365,0.000,4.958,1.093,0.000,1.387,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
4.700,8.166,-1.587,1.345,0.506,0.142,6.277,1.183,2.661,0.000,1.901,1.431,1.629,3.395,1.268,4.968,1.081,0.000,1.387,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
4.802,8.269,-1.575,1.352,0.506,0.168,6.277,1.166,2.625,0.000,1.920,1.446,1.646,3.429,1.313,4.980,1.066,0.000,1.387,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
4.904,8.370,-1.560,1.360,0.506,0.193,6.277,1.162,2.680,0.000,1.913,1.456,1.672,3.564,1.391,0.000,1.053,0.000,1.387,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
5.001,8.467,-1.548,1.366,0.519,0.049,0.669,0.000,3.562,0.000,1.765,1.451,1.785,4.659,1.525,0.000,1.049,0.000,1.281,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
5.100,8.566,-1.549,1.365,0.622,-0.061,1.566,3.703,0.000,3.275,1.633,1.464,1.973,0.000,3.717,0.000,1.062,0.000,1.141,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
5.207,8.674,-1.553,1.363,0.747,-0.010,1.323,3.871,0.000,2.746,1.562,1.495,2.183,0.000,3.918,0.000,1.080,0.000,1.035,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
5.308,8.774,-1.551,1.365,0.845,0.036,1.128,2.021,0.000,2.382,1.511,1.542,2.473,0.000,4.187,1.100,1.110,0.000,0.930,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
5.408,8.875,-1.550,1.366,0.944,0.012,1.242,2.043,0.000,2.122,1.476,1.607,2.875,2.019,4.538,1.072,1.121,0.000,0.860,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
5.505,8.972,-1.550,1.366,1.042,-0.023,1.125,2.514,0.000,1.960,1.458,1.675,3.341,2.138,4.906,1.059,1.145,0.000,0.755,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
5.610,9.076,-1.551,1.365,1.122,-0.009,0.873,2.873,0.000,1.866,1.451,1.736,3.797,4.418,0.000,1.053,0.000,0.000,0.720,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
5.711,9.178,-1.550,1.365,1.179,0.013,0.705,3.342,0.000,1.790,1.450,1.804,4.385,3.614,0.000,1.050,0.000,0.000,0.649,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
